|FPP|Entry
8199|cardiologia|cardiologia, cardiologiae n
8200|cardiologus|cardiologus, cardiologi n
8201|cardo|cardo, cardinis n
8202|carduelis|carduelis, carduelis n
8203|carduetus|carduetus, cardueti n
8204|carduus|carduus, cardui n
8205|care|care adv
8206|care|care, carius, carissime adv
8207|carectum|carectum, carecti n
8208|carena|carena, carenae n
8209|carenaria|carenaria, carenariae n
8210|carentia|carentia, carentiae n
8211|carenum|carenum, careni n
8212|careo|careo, carere, carui, caritus v
8213|careor|careor, careri, caritus v
8214|careota|careota, careotae n
8215|caresco|caresco, carescere, -, - v
8216|careum|careum, carei n
8217|carex|carex, caricis n
8218|carfiathum|carfiathum, carfiathi n
8219|carians|carians, (gen.), cariantis adj
8220|carica|carica, caricae n
8221|caries|caries, cariei n
8222|carina|carina, carinae n
8223|carinarius|carinarius, carinarii n
8224|carinatus|carinatus, carinata, carinatum adj
8225|carino|carino, carinare, carinavi, carinatus v
8226|carino|carino, carinare, carinavi, carinatus v
8227|carinor|carinor, carinari, - v
8228|carinus|carinus, carina, carinum adj
8229|cariosus|cariosus, cariosa, cariosum adj
8230|cariota|cariota, cariotae n
8231|caris|caris, caridis n
8232|carisa|carisa, carisae n
8233|carissus|carissus, carissa, carissum adj
8234|caristium|caristium, caristii n
8235|carisus|carisus, carisa, carisum adj
8236|caritas|caritas, caritatis n
8237|caritativus|caritativus, caritativa, caritativum adj
8238|caritores|caritores, caritoris n
8239|Carmelitus|Carmelitus, Carmeliti n
8240|Carmelus|Carmelus, Carmeli n
8241|carmen|carmen, carminis n
8242|carmen|carmen, carminis n
8243|carminabundus|carminabundus, carminabunda, carminabundum adj
8244|carminatio|carminatio, carminationis n
8245|carminator|carminator, carminatoris n
8246|carmino|carmino, carminare, carminavi, carminatus v
8247|carmino|carmino, carminare, carminavi, carminatus v
8248|carnale|carnale, carnalis n
8249|carnalis|carnalis, carnalis, carnale adj
8250|carnalitas|carnalitas, carnalitatis n
8251|carnaliter|carnaliter adv
8252|carnarium|carnarium, carnari(i) n
8253|carnarius|carnarius, carnari(i) n
8254|carnarius|carnarius, carnaria, carnarium adj
8255|carnatio|carnatio, carnationis n
8256|carnatus|carnatus, carnata, carnatum adj
8257|carnelevarium|carnelevarium, carnelevarii n
8258|carnero|carnero, carneronis n
8259|carneus|carneus, carnea, carneum adj
8260|carnicis|carnicis, carnicis n
8261|carnicula|carnicula, carniculae n
8262|carnifex|carnifex, (gen.), carnificis adj
8263|carnifex|carnifex, carnificis n
8264|carnificina|carnificina, carnificinae n
8265|carnificius|carnificius, carnificia, carnificium adj
8266|carnifico|carnifico, carnificare, carnificavi, carnificatus v
8267|carnificor|carnificor, carnificari, - v
8268|carnificus|carnificus, carnifica, carnificum adj
8269|carniger|carniger, carnigera, carnigerum adj
8270|carnis|carnis, carnis n
8271|carnivorus|carnivorus, carnivora, carnivorum adj
8272|carnosus|carnosus, carnosa adj
8273|carnufex|carnufex, (gen.), carnuficis adj
8274|carnufex|carnufex, carnuficis n
8275|carnuficina|carnuficina, carnuficinae n
8276|carnuficius|carnuficius, carnuficia, carnuficium adj
8277|carnufico|carnufico, carnuficare, carnuficavi, carnuficatus v
8278|carnuficor|carnuficor, carnuficari, - v
8279|carnuficus|carnuficus, carnufica, carnuficum adj
8280|carnulentus|carnulentus, carnulenta, carnulentum adj
8281|Carnutes|Carnutes, Carnutis n
8282|caro|caro adv
8283|caro|caro, carere, -, - v
8284|caro|caro, carnis n
8285|caroenum|caroenum, caroeni n
8286|Carolus|Carolus, Caroli n
8287|caros|caros, cari n
8288|carota|carota, carotae n
8289|carotis|carotis, carotidis n
8290|carpa|carpa, carpae n
8291|carpasinus|carpasinus, carpasina, carpasinum adj
8292|carpasum|carpasum, carpasi n
8293|carpathium|carpathium, carpathii n
8294|carpathum|carpathum, carpathi n
8295|carpatinus|carpatinus, carpatina, carpatinum adj
8296|carpentarius|carpentarius, carpentaria, carpentarium adj
8297|carpentarius|carpentarius, carpentarii n
8298|carpentarius|carpentarius, carpentarii n
8299|carpentum|carpentum, carpenti n
8300|carpentura|carpentura, carpenturae n
8301|carpheothum|carpheothum, carpheothi n
8302|carphologia|carphologia, carphologiae n
8303|carphos|carphos, carphi n
8304|carpineus|carpineus, carpinea, carpineum adj
8305|carpineus|carpineus, carpinei n
8306|carpisculus|carpisculus, carpisculi n
8307|carpistes|carpistes, carpistae n
8308|carpo|carpo, carpere, carpsi, carptus v
8309|carpo|carpo, carpere, carpsi, carptus v
8310|carpophyllon|carpophyllon, carpophylli n
8311|carptim|carptim adv
8312|carptor|carptor, carptoris n
8313|carptura|carptura, carpturae n
8314|carpusculus|carpusculus, carpusculi n
8315|carracutium|carracutium, carracutii n
8316|carrago|carrago, carraginis n
8317|carrarius|carrarius, carrari(i) n
8318|carrico|carrico, carricare, carricavi, carricatus v
8319|carro|carro, carrere, -, - v
8320|carrobalista|carrobalista, carrobalistae n
8321|carroballista|carroballista, carroballistae n
8322|carroco|carroco, carroconis n
8323|carruca|carruca, carrucae n
8324|carrucarius|carrucarius, carrucaria, carrucarium adj
8325|carrucarius|carrucarius, carrucarii n
8326|carrucha|carrucha, carruchae n
8327|carrulus|carrulus, carruli n
8328|carrum|carrum, carri n
8329|carrus|carrus, carri n
8330|carta|carta, cartae n
8331|Cartago|Cartago, Cartaginis n
8332|cartallus|cartallus, cartalli n
8333|Carthaginiensis|Carthaginiensis, Carthaginiensis n
8334|Carthaginiensis|Carthaginiensis, Carthaginiensis, Carthaginiense adj
8335|Carthago|Carthago, Carthaginis n
8336|Carthusianus|Carthusianus, Carthusiani n
8337|cartibulum|cartibulum, cartibuli n
8338|cartilagineus|cartilagineus, cartilaginea, cartilagineum adj
8339|cartilaginosus|cartilaginosus, cartilaginosa, cartilaginosum adj
8340|cartilago|cartilago, cartilaginis n
8341|cartula|cartula, cartulae n
8342|cartus|cartus, carti n
8343|carucata|carucata, carucatae n
8344|caruncula|caruncula, carunculae n
8345|carus|carus, cara adj
8346|Carus|Carus, Cari n
8347|caryinos|caryinos, caryinos, caryinon adj
8348|caryinus|caryinus, caryina, caryinum adj
8349|caryites|caryites, caryitae n
8350|caryon|caryon, caryi n
8351|caryophyllon|caryophyllon, caryophylli n
8352|caryophyllum|caryophyllum, caryophylli n
8353|caryota|caryota, caryotae n
8354|caryotis|caryotis, caryotidis n
8355|casa|casa, casae n
8356|casabundus|casabundus, casabunda, casabundum adj
8357|casamus|casamus, casami n
8358|casaria|casaria, casariae n
8359|casarius|casarius, casaria, casarium adj
8360|casarius|casarius, casarii n
8361|casce|casce adv
8362|cascus|cascus, casca, cascum adj
8363|casearius|casearius, casearia, casearium adj
8364|caseatus|caseatus, caseata, caseatum adj
8365|casellula|casellula, casellulae n
8366|caseolus|caseolus, caseoli n
8367|caseta|caseta, casetae n
8368|casetophonum|casetophonum, casetophoni n
8369|caseum|caseum, casei n
8370|caseus|caseus, casei n
8371|casia|casia, casiae n
8372|casiarius|casiarius, casiaria, casiarium adj
8373|casignete|casignete, casignetes n
8374|casila|casila, casilae n
8375|casito|casito, casitare, casitavi, casitatus v
8376|casleu|casleu, undeclined n
8377|casmila|casmila, casmilae n
8378|casmilus|casmilus, casmili n
8379|casnar|casnar, undeclined n
8380|cassabundus|cassabundus, cassabunda, cassabundum adj
8381|cassia|cassia, cassiae n
8382|cassiculus|cassiculus, cassiculi n
8383|cassida|cassida, cassidae n
8384|cassidarius|cassidarius, cassidarii n
8385|cassidile|cassidile, cassidilis n
8386|cassis|cassis, cassidis n
8387|cassis|cassis, cassis n
8388|cassita|cassita, cassitae n
8389|cassiterinus|cassiterinus, cassiterina, cassiterinum adj
8390|cassiterum|cassiterum, cassiteri n
8391|cassito|cassito, cassitare, cassitavi, cassitatus v
8392|Cassius|Cassius, Cassi n
8393|Cassius|Cassius, Cassia, Cassium adj
8394|Cassivellaunus|Cassivellaunus, Cassivellauni n
8395|casso|casso, cassare, cassavi, cassatus v
8396|casso|casso, cassare, cassavi, cassatus v
8397|cassum|cassum, cassi n
8398|cassus|cassus, cassa, cassum adj
8399|cassus|cassus, cassus n
8400|castanea|castanea, castaneae n
8401|castanetum|castanetum, castaneti n
8402|castanietum|castanietum, castanieti n
8403|caste|caste, castius, castissime adv
8404|castella|castella, castellae n
8405|castellanus|castellanus, castellana, castellanum adj
8406|castellanus|castellanus, castellani n
8407|castellarius|castellarius, castellarii n
8408|castellatim|castellatim adv
8409|castellum|castellum, castelli n
8410|castellum|castellum, castelli n
8411|castellum|castellum, castelli n
8412|casteria|casteria, casteriae n
8413|castifico|castifico, castificare, castificavi, castificatus v
8414|castificus|castificus, castifica, castificum adj
8415|castigabilis|castigabilis, castigabilis, castigabile adj
8416|castigate|castigate adv
8417|castigatio|castigatio, castigationis n
8418|castigator|castigator, castigatoris n
8419|castigatorius|castigatorius, castigatoria, castigatorium adj
8420|castigatus|castigatus, castigata adj
8421|castigo|castigo, castigare, castigavi, castigatus v
8422|castimonia|castimonia, castimoniae n
8423|castimonialis|castimonialis, castimonialis, castimoniale adj
8424|castimonium|castimonium, castimoni(i) n
8425|castitas|castitas, castitatis n
8426|castitudo|castitudo, castitudinis n
8427|castor|castor, castoris n
8428|Castor|Castor, Castoris n
8429|castor|castor, castoros/is n
8430|castoreum|castoreum, castorei n
8431|castorinatus|castorinatus, castorinata, castorinatum adj
8432|castorinus|castorinus, castorina, castorinum adj
8433|castra|castra, castrae n
8434|castramentor|castramentor, castramentari, castramentatus v
8435|castrametor|castrametor, castrametari, castrametatus v
8436|castratio|castratio, castrationis n
8437|castrator|castrator, castratoris n
8438|castratorius|castratorius, castratoria, castratorium adj
8439|castratura|castratura, castraturae n
8440|castratus|castratus, castrata, castratum adj
8441|castratus|castratus, castrati n
8442|castrens|castrens, castrensis n
8443|castrensianus|castrensianus, castrensiani n
8444|castrensiarius|castrensiarius, castrensiarii n
8445|castrensis|castrensis, castrensis, castrense adj
8446|castrmetor|castrmetor, castrmetari, castrmatatus v
8447|castro|castro, castrare, castravi, castratus v
8448|castrum|castrum, castri n
8449|castrum|castrum, castri n
8450|castula|castula, castulae n
8451|castum|castum, casti n
8452|castus|castus, casta adj
8453|castus|castus, castus n
8454|casu|casu adv
8455|casualis|casualis, casualis, casuale adj
8456|casualis|casualis, casualis, casuale adj
8457|casualiter|casualiter adv
8458|casula|casula, casulae n
8459|casula|casula, casulae n
8460|casurus|casurus, casurus n
8461|casus|casus, casus n
8462|casus|casus, casus n
8463|cata|cata prep
8464|catabasis|catabasis, catabasis n
8465|catabolensis|catabolensis, catabolensis n
8466|catabulum|catabulum, catabuli n
8467|catacecaumenites|catacecaumenites, catacecaumenitae n
8468|catachana|catachana, catachanae n
8469|catachanna|catachanna, catachannae n
8470|catachresis|catachresis, catachresis n
8471|cataclisticus|cataclisticus, cataclistica, cataclisticum adj
8472|cataclistus|cataclistus, cataclista, cataclistum adj
8473|cataclysmos|cataclysmos, cataclysmi n
8474|cataclysmus|cataclysmus, cataclysmi n
8475|catacumba|catacumba, catacumbae n
8476|catadromarius|catadromarius, catadromarii n
8477|catadromus|catadromus, catadromi n
8478|catadupum|catadupum, catadupi n
8479|cataegis|cataegis, cataegidis n
8480|catafracta|catafracta, catafractae n
8481|catafractarius|catafractarius, catafractaria, catafractarium adj
8482|catafractarius|catafractarius, catafractarii n
8483|catafractatus|catafractatus, catafractata, catafractatum adj
8484|catafractes|catafractes, catafractae n
8485|catafractus|catafractus, catafracta, catafractum adj
8486|catafractus|catafractus, catafracti n
8487|catagraphum|catagraphum, catagraphi n
8488|catagraphus|catagraphus, catagrapha, catagraphum adj
8489|catagusa|catagusa, catagusae n
8490|catalecticos|catalecticos, catalecticos, catalecticon adj
8491|catalecticus|catalecticus, catalectica, catalecticum adj
8492|catalectus|catalectus, catalecta, catalectum adj
8493|catalepsis|catalepsis, catalepsis n
8494|catalepticus|catalepticus, cataleptica, catalepticum adj
8495|catalexis|catalexis, catalexis n
8496|catallum|catallum, catalli n
8497|catalogus|catalogus, catalogi n
8498|catamenia|catamenia, catameniae n
8499|catampo|catampo, catamponis n
8500|catanance|catanance, catanances n
8501|cataphagas|cataphagas, cataphagae n
8502|cataphasis|cataphasis, cataphasos/is n
8503|cataphracta|cataphracta, cataphractae n
8504|cataphractarius|cataphractarius, cataphractaria, cataphractarium adj
8505|cataphractarius|cataphractarius, cataphractarii n
8506|cataphractes|cataphractes, cataphractae n
8507|cataphractus|cataphractus, cataphracta, cataphractum adj
8508|catapirateria|catapirateria, catapirateriae n
8509|catapirates|catapirates, catapiratis n
8510|cataplasma|cataplasma, cataplasmatis n
8511|cataplasmo|cataplasmo, cataplasmare, cataplasmavi, cataplasmatus v
8512|cataplasmus|cataplasmus, cataplasmi n
8513|cataplectatio|cataplectatio, cataplectationis n
8514|cataplexis|cataplexis, cataplexis n
8515|cataplus|cataplus, catapli n
8516|catapotium|catapotium, catapotii n
8517|catapulta|catapulta, catapultae n
8518|catapultarius|catapultarius, catapultaria, catapultarium adj
8519|cataracta|cataracta, cataractae n
8520|cataractes|cataractes, cataractae n
8521|cataractria|cataractria, cataractriae n
8522|catarhactes|catarhactes, catarhactae n
8523|catarracta|catarracta, catarractae n
8524|catarractes|catarractes, catarractae n
8525|catarrhactes|catarrhactes, catarrhactae n
8526|catarrhus|catarrhus, catarrhi n
8527|catasceua|catasceua, catasceuae n
8528|catasceue|catasceue, catasceues n
8529|catascopiscus|catascopiscus, catascopisci n
8530|catascopium|catascopium, catascopii n
8531|catascopus|catascopus, catascopi n
8532|catasta|catasta, catastae n
8533|catasta|catasta, catastae n
8534|catastalticus|catastalticus, catastaltica, catastalticum adj
8535|catastatice|catastatice, catastatices n
8536|catastema|catastema, catastematis n
8537|catastropha|catastropha, catastrophae n
8538|catatexitechnus|catatexitechnus, catatexitechna, catatexitechnum adj
8539|catatonus|catatonus, catatona, catatonum adj
8540|catax|catax, (gen.), catacis adj
8541|cate|cate adv
8542|catechesis|catechesis, catechesis n
8543|catecheta|catecheta, catechetae n
8544|catechisatio|catechisatio, catechisationis n
8545|catechismus|catechismus, catechismi n
8546|catechisso|catechisso, catechissare, catechissavi, catechissatus v
8547|catechista|catechista, catechistae n
8548|catechista|catechista, catechistae n
8549|catechisticus|catechisticus, catechistica, catechisticum adj
8550|catechiticus|catechiticus, catechitica, catechiticum adj
8551|catechizo|catechizo, catechizare, catechizavi, catechizatus v
8552|catechumatus|catechumatus, catechumatus n
8553|catechumena|catechumena, catechumenae n
8554|catechumenatus|catechumenatus, catechumenatus n
8555|catechumenus|catechumenus, catechumeni n
8556|catecizo|catecizo, catecizare, catecizavi, catecizatus v
8557|categoria|categoria, categoriae n
8558|categoricus|categoricus, categorica, categoricum adj
8559|cateia|cateia, cateiae n
8560|catela|catela, catelae n
8561|catella|catella, catellae n
8562|catellus|catellus, catelli n
8563|catena|catena, catenae n
8564|catenarius|catenarius, catenaria, catenarium adj
8565|catenatio|catenatio, catenationis n
8566|catenatus|catenatus, catenata, catenatum adj
8567|cateno|cateno, catenare, catenavi, catenatus v
8568|catenula|catenula, catenulae n
8569|caterva|caterva, catervae n
8570|catervarius|catervarius, catervaria, catervarium adj
8571|catervatim|catervatim adv
8572|catharmos|catharmos, catharmi n
8573|Cathartarium|Cathartarium, Cathartarii n
8574|catharticum|catharticum, cathartici n
8575|cathecuminus|cathecuminus, cathecumini n
8576|cathedra|cathedra, cathedrae n
8577|cathedra|cathedra, cathedrae n
8578|cathedralicius|cathedralicius, cathedralicia, cathedralicium adj
8579|cathedralis|cathedralis, cathedralis, cathedrale adj
8580|cathedrarius|cathedrarius, cathedraria, cathedrarium adj
8581|cathedraticum|cathedraticum, cathedratici n
8582|cathedratus|cathedratus, cathedrata, cathedratum adj
8583|catheter|catheter, catheteris n
8584|catheterismus|catheterismus, catheterismi n
